GID	COG	COG_Name	COG_Class
10309	MD05G1123000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10310	MD05G1123100	S	( S ) Function unknown	POORLY CHARACTERIZED
10311	MD05G1123200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10312	MD05G1123300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10313	MD05G1123400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10314	MD05G1123500	C	( C ) Energy production and conversion	METABOLISM
10315	MD05G1123600	C	( C ) Energy production and conversion	METABOLISM
10316	MD05G1123700	C	( C ) Energy production and conversion	METABOLISM
10317	MD05G1123800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10318	MD05G1123900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10319	MD05G1124200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10320	MD05G1124400	S	( S ) Function unknown	POORLY CHARACTERIZED
10321	MD05G1124500	S	( S ) Function unknown	POORLY CHARACTERIZED
10322	MD05G1124600	S	( S ) Function unknown	POORLY CHARACTERIZED
10323	MD05G1124700	C	( C ) Energy production and conversion	METABOLISM
10324	MD05G1124800	S	( S ) Function unknown	POORLY CHARACTERIZED
10325	MD05G1124900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10326	MD05G1125000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10327	MD05G1125100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10328	MD05G1125400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10329	MD05G1125600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10330	MD05G1125700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10331	MD05G1126000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10332	MD05G1126100	S	( S ) Function unknown	POORLY CHARACTERIZED
10333	MD05G1126300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10334	MD05G1126400	S	( S ) Function unknown	POORLY CHARACTERIZED
10335	MD05G1126500	S	( S ) Function unknown	POORLY CHARACTERIZED
10336	MD05G1126600	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
10337	MD05G1126700	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10338	MD05G1126800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10339	MD05G1127000	H	( H ) Coenzyme transport and metabolism	METABOLISM
10340	MD05G1127100	H	( H ) Coenzyme transport and metabolism	METABOLISM
10341	MD05G1127200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10342	MD05G1127400	S	( S ) Function unknown	POORLY CHARACTERIZED
10343	MD05G1127600	S	( S ) Function unknown	POORLY CHARACTERIZED
10344	MD05G1127700	S	( S ) Function unknown	POORLY CHARACTERIZED
10345	MD05G1127800	C	( C ) Energy production and conversion	METABOLISM
10346	MD05G1127900	S	( S ) Function unknown	POORLY CHARACTERIZED
10347	MD05G1128000	S	( S ) Function unknown	POORLY CHARACTERIZED
10348	MD05G1128100	S	( S ) Function unknown	POORLY CHARACTERIZED
10349	MD05G1128200	S	( S ) Function unknown	POORLY CHARACTERIZED
10350	MD05G1128300	S	( S ) Function unknown	POORLY CHARACTERIZED
10351	MD05G1128400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10352	MD05G1128500	S	( S ) Function unknown	POORLY CHARACTERIZED
10353	MD05G1128600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10354	MD05G1128700	S	( S ) Function unknown	POORLY CHARACTERIZED
10355	MD05G1128800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10356	MD05G1128900	S	( S ) Function unknown	POORLY CHARACTERIZED
10357	MD05G1129000	S	( S ) Function unknown	POORLY CHARACTERIZED
10358	MD05G1129100	S	( S ) Function unknown	POORLY CHARACTERIZED
10359	MD05G1129200	E	( E ) Amino acid transport and metabolism	METABOLISM
10360	MD05G1129500	E	( E ) Amino acid transport and metabolism	METABOLISM
10361	MD05G1129600	E	( E ) Amino acid transport and metabolism	METABOLISM
10362	MD05G1129800	E	( E ) Amino acid transport and metabolism	METABOLISM
10363	MD05G1129900	E	( E ) Amino acid transport and metabolism	METABOLISM
10364	MD05G1130000	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10365	MD05G1130100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10366	MD05G1130200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10367	MD05G1130300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10368	MD05G1130400	S	( S ) Function unknown	POORLY CHARACTERIZED
10369	MD05G1130500	S	( S ) Function unknown	POORLY CHARACTERIZED
10370	MD05G1130600	S	( S ) Function unknown	POORLY CHARACTERIZED
10371	MD05G1130700	S	( S ) Function unknown	POORLY CHARACTERIZED
10372	MD05G1130800	S	( S ) Function unknown	POORLY CHARACTERIZED
10373	MD05G1131000	S	( S ) Function unknown	POORLY CHARACTERIZED
10374	MD05G1131200	S	( S ) Function unknown	POORLY CHARACTERIZED
10375	MD05G1131400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10376	MD05G1131700	S	( S ) Function unknown	POORLY CHARACTERIZED
10377	MD05G1131800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10378	MD05G1131900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10379	MD05G1132000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10380	MD05G1132400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10381	MD05G1132600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10382	MD05G1132700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10383	MD05G1132800	S	( S ) Function unknown	POORLY CHARACTERIZED
10384	MD05G1132900	S	( S ) Function unknown	POORLY CHARACTERIZED
10385	MD05G1133000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10386	MD05G1133100	S	( S ) Function unknown	POORLY CHARACTERIZED
10387	MD05G1133200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10388	MD05G1133300	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10389	MD05G1133400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10390	MD05G1133600	E	( E ) Amino acid transport and metabolism	METABOLISM
10391	MD05G1133700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10392	MD05G1133800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10393	MD05G1133900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10394	MD05G1134100	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
10395	MD05G1134200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10396	MD05G1134300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10397	MD05G1134500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10398	MD05G1134600	S	( S ) Function unknown	POORLY CHARACTERIZED
10399	MD05G1134700	S	( S ) Function unknown	POORLY CHARACTERIZED
10400	MD05G1134800	S	( S ) Function unknown	POORLY CHARACTERIZED
10401	MD05G1134900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10402	MD05G1135000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10403	MD05G1135100	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
10404	MD05G1135100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10405	MD05G1135200	S	( S ) Function unknown	POORLY CHARACTERIZED
10406	MD05G1135300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10407	MD05G1135500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10408	MD05G1135500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10409	MD05G1135700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10410	MD05G1135800	S	( S ) Function unknown	POORLY CHARACTERIZED
10411	MD05G1136000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10412	MD05G1136000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10413	MD05G1136100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10414	MD05G1136200	S	( S ) Function unknown	POORLY CHARACTERIZED
10415	MD05G1136300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10416	MD05G1136300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10417	MD05G1136400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10418	MD05G1136400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10419	MD05G1136500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10420	MD05G1136500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10421	MD05G1136700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10422	MD05G1137000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10423	MD05G1137000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10424	MD05G1137100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10425	MD05G1137100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10426	MD05G1137400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10427	MD05G1137600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10428	MD05G1137600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10429	MD05G1137900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10430	MD05G1138200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10431	MD05G1138200	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10432	MD05G1138300	S	( S ) Function unknown	POORLY CHARACTERIZED
10433	MD05G1138400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10434	MD05G1138500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10435	MD05G1138700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10436	MD05G1138800	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10437	MD05G1138900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10438	MD05G1139000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10439	MD05G1139100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10440	MD05G1139200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10441	MD05G1139300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10442	MD05G1139500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10443	MD05G1139600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10444	MD05G1139700	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10445	MD05G1139800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10446	MD05G1139900	C	( C ) Energy production and conversion	METABOLISM
10447	MD05G1140000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10448	MD05G1140100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10449	MD05G1140200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10450	MD05G1140300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10451	MD05G1140500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10452	MD05G1140600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10453	MD05G1140700	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
10454	MD05G1140700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10455	MD05G1141000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10456	MD05G1141100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10457	MD05G1141200	H	( H ) Coenzyme transport and metabolism	METABOLISM
10458	MD05G1141300	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10459	MD05G1141700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10460	MD05G1142000	S	( S ) Function unknown	POORLY CHARACTERIZED
10461	MD05G1142200	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10462	MD05G1142300	I	( I ) Lipid transport and metabolism	METABOLISM
10463	MD05G1142900	S	( S ) Function unknown	POORLY CHARACTERIZED
10464	MD05G1143000	E	( E ) Amino acid transport and metabolism	METABOLISM
10465	MD05G1143200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10466	MD05G1143300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10467	MD05G1143400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10468	MD05G1143500	I	( I ) Lipid transport and metabolism	METABOLISM
10469	MD05G1143700	S	( S ) Function unknown	POORLY CHARACTERIZED
10470	MD05G1144000	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
10471	MD05G1144100	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10472	MD05G1144400	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10473	MD05G1144500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10474	MD05G1144600	S	( S ) Function unknown	POORLY CHARACTERIZED
10475	MD05G1144700	S	( S ) Function unknown	POORLY CHARACTERIZED
10476	MD05G1144800	S	( S ) Function unknown	POORLY CHARACTERIZED
10477	MD05G1144900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10478	MD05G1145000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10479	MD05G1145100	S	( S ) Function unknown	POORLY CHARACTERIZED
10480	MD05G1145200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10481	MD05G1145300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10482	MD05G1145300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10483	MD05G1145400	S	( S ) Function unknown	POORLY CHARACTERIZED
10484	MD05G1145500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10485	MD05G1145600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10486	MD05G1145700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10487	MD05G1145800	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
10488	MD05G1146000	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
10489	MD05G1146100	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10490	MD05G1146300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10491	MD05G1146300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10492	MD05G1146500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10493	MD05G1146600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10494	MD05G1146800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10495	MD05G1146800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10496	MD05G1146900	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10497	MD05G1147100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10498	MD05G1147500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10499	MD05G1147600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10500	MD05G1147700	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
10501	MD05G1148000	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10502	MD05G1148300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10503	MD05G1148500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10504	MD05G1148500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10505	MD05G1148600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10506	MD05G1148800	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
10507	MD05G1148900	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
10508	MD05G1149000	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
10509	MD05G1149100	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10510	MD05G1149200	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10511	MD05G1149300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10512	MD05G1149300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10513	MD05G1149500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10514	MD05G1150100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10515	MD05G1150200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10516	MD05G1150500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10517	MD05G1150700	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10518	MD05G1150900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10519	MD05G1151200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10520	MD05G1151400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
10521	MD05G1151500	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
10522	MD05G1151600	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10523	MD05G1151800	S	( S ) Function unknown	POORLY CHARACTERIZED
10524	MD05G1151900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10525	MD05G1152000	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
10526	MD05G1152100	S	( S ) Function unknown	POORLY CHARACTERIZED
10527	MD05G1152200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10528	MD05G1152500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10529	MD05G1152500	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
10530	MD05G1152600	I	( I ) Lipid transport and metabolism	METABOLISM
10531	MD05G1153200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10532	MD05G1153300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10533	MD05G1153400	S	( S ) Function unknown	POORLY CHARACTERIZED
10534	MD05G1153500	S	( S ) Function unknown	POORLY CHARACTERIZED
10535	MD05G1153700	S	( S ) Function unknown	POORLY CHARACTERIZED
10536	MD05G1153800	S	( S ) Function unknown	POORLY CHARACTERIZED
10537	MD05G1153900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10538	MD05G1154000	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10539	MD05G1154100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10540	MD05G1154500	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10541	MD05G1154700	S	( S ) Function unknown	POORLY CHARACTERIZED
10542	MD05G1155100	E	( E ) Amino acid transport and metabolism	METABOLISM
10543	MD05G1155200	S	( S ) Function unknown	POORLY CHARACTERIZED
10544	MD05G1155300	S	( S ) Function unknown	POORLY CHARACTERIZED
10545	MD05G1155500	S	( S ) Function unknown	POORLY CHARACTERIZED
10546	MD05G1155700	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
10547	MD05G1156200	S	( S ) Function unknown	POORLY CHARACTERIZED
10548	MD05G1156300	S	( S ) Function unknown	POORLY CHARACTERIZED
10549	MD05G1156400	S	( S ) Function unknown	POORLY CHARACTERIZED
10550	MD05G1156500	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
10551	MD05G1156600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10552	MD05G1156900	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10553	MD05G1157000	E	( E ) Amino acid transport and metabolism	METABOLISM
10554	MD05G1157200	S	( S ) Function unknown	POORLY CHARACTERIZED
10555	MD05G1157400	S	( S ) Function unknown	POORLY CHARACTERIZED
10556	MD05G1157500	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
10557	MD05G1157600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
10558	MD05G1157700	S	( S ) Function unknown	POORLY CHARACTERIZED
10559	MD05G1157800	S	( S ) Function unknown	POORLY CHARACTERIZED
10560	MD05G1157900	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
10561	MD05G1158000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10562	MD05G1158100	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
10563	MD05G1158200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10564	MD05G1158300	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
10565	MD05G1158400	S	( S ) Function unknown	POORLY CHARACTERIZED
10566	MD05G1158500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10567	MD05G1158600	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10568	MD05G1158700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10569	MD05G1158800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10570	MD05G1159000	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
10571	MD05G1159300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10572	MD05G1159700	S	( S ) Function unknown	POORLY CHARACTERIZED
10573	MD05G1160000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10574	MD05G1160200	S	( S ) Function unknown	POORLY CHARACTERIZED
10575	MD05G1161100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10576	MD05G1161100	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
10577	MD05G1161300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10578	MD05G1161300	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
10579	MD05G1161600	S	( S ) Function unknown	POORLY CHARACTERIZED
10580	MD05G1161700	S	( S ) Function unknown	POORLY CHARACTERIZED
10581	MD05G1162100	S	( S ) Function unknown	POORLY CHARACTERIZED
10582	MD05G1162200	S	( S ) Function unknown	POORLY CHARACTERIZED
10583	MD05G1162300	S	( S ) Function unknown	POORLY CHARACTERIZED
10584	MD05G1162400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10585	MD05G1162400	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
10586	MD05G1162500	S	( S ) Function unknown	POORLY CHARACTERIZED
10587	MD05G1163100	S	( S ) Function unknown	POORLY CHARACTERIZED
10588	MD05G1163300	S	( S ) Function unknown	POORLY CHARACTERIZED
10589	MD05G1163500	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10590	MD05G1163600	S	( S ) Function unknown	POORLY CHARACTERIZED
10591	MD05G1163800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
10592	MD05G1163900	S	( S ) Function unknown	POORLY CHARACTERIZED
10593	MD05G1164000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10594	MD05G1164200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10595	MD05G1164300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10596	MD05G1164400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10597	MD05G1164600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10598	MD05G1164700	P	( P ) Inorganic ion transport and metabolism	METABOLISM
10599	MD05G1164800	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10600	MD05G1164900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10601	MD05G1165000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
10602	MD05G1165100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10603	MD05G1165200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
10604	MD05G1165300	S	( S ) Function unknown	POORLY CHARACTERIZED
10605	MD05G1165400	S	( S ) Function unknown	POORLY CHARACTERIZED
10606	MD05G1165500	S	( S ) Function unknown	POORLY CHARACTERIZED
10607	MD05G1165600	S	( S ) Function unknown	POORLY CHARACTERIZED
10608	MD05G1165700	S	( S ) Function unknown	POORLY CHARACTERIZED
10609	MD05G1165800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
10610	MD05G1165900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
10611	MD05G1166000	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
10612	MD05G1166100	S	( S ) Function unknown	POORLY CHARACTERIZED
