GID	COG	COG_Name	COG_Class
MD01G1067600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1067700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1067800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1067900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1068000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1068100	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1068100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1068200	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1068200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1068300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1068400	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD01G1068500	C	( C ) Energy production and conversion	METABOLISM
MD01G1068500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1068700	C	( C ) Energy production and conversion	METABOLISM
MD01G1068700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1068800	C	( C ) Energy production and conversion	METABOLISM
MD01G1068800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1068900	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD01G1069000	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD01G1069100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1069200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1069300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1069400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1069500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1069600	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1069600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1069700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1069800	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1070000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1070100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1070300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1070400	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1070500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1070600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1070700	C	( C ) Energy production and conversion	METABOLISM
MD01G1070900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1071000	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1071100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1071200	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1071300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1071400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1071500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1071600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1071700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1071800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1071900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1072000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1072100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1072200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1072300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1072400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1072500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1072900	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1073000	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1073100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1073100	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1073300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1073400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1073500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1073600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1073700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1073800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1073900	H	( H ) Coenzyme transport and metabolism	METABOLISM
MD01G1074000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1074300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1074500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1074600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1074700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1074800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1075100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1075200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1075300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1075400	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1075600	C	( C ) Energy production and conversion	METABOLISM
MD01G1075800	C	( C ) Energy production and conversion	METABOLISM
MD01G1075900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1076100	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1076300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1076400	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1076500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1076900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1077000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1077200	C	( C ) Energy production and conversion	METABOLISM
MD01G1077200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1077400	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1077600	C	( C ) Energy production and conversion	METABOLISM
MD01G1077800	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1077900	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1078000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1078400	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD01G1078600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1078700	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD01G1078800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1078900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1079000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1079100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1079200	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD01G1079300	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1079500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1079600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1079700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1079900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1080000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1080100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1080200	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD01G1080200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1080500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1080600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1080700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1080800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1080900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1081000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1081100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1081200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1081400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1081500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1081600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1081700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1081800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1081900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1082000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1082100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1082200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1082300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1082400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1082500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1082700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1083000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1083100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1083100	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
MD01G1083200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1083300	C	( C ) Energy production and conversion	METABOLISM
MD01G1083400	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1083600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1083800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1083900	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1084000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1084300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1084400	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1084700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1084800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1085000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1085200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1085300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1085400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1085500	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
MD01G1085500	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1085600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1085700	C	( C ) Energy production and conversion	METABOLISM
MD01G1085800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1085900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1086300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1086500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1086700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1086800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1086900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1087000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1087100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1087300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1087400	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1087600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1087700	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1087800	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1087900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1088100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1088200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1088300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1088500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1088700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1088800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1088900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1089000	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1089100	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1089300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1089400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1089500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1089600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1089800	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
MD01G1090000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1090100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1090400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1090500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1090600	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
MD01G1090800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1090900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1091000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1091100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1091200	C	( C ) Energy production and conversion	METABOLISM
MD01G1091400	C	( C ) Energy production and conversion	METABOLISM
MD01G1091500	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1091600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1091800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1091900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1092200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1092300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1092500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1092600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1092800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1092900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093100	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD01G1093200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1093500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1093900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1094800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1095000	C	( C ) Energy production and conversion	METABOLISM
MD01G1095100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1095200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1095300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1095400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1095700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1095900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1096100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1096500	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD01G1096600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1096800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1096900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1097000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1097100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1097200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1097300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1097400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1097600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1097800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1097900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1098100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1098200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1098300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1098500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1098600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1098700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1098800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1098900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1099000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1099100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1099200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1099300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1099500	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1099600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1099700	C	( C ) Energy production and conversion	METABOLISM
MD01G1099800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1100100	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1100200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1100300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1100600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1100700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1100800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1100900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1101000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1101100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1101200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1101300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1101400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1101500	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1101700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1101800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1102200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1102300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1102400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1102500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1102600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1102800	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1102900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1103000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1103100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1103200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1103300	C	( C ) Energy production and conversion	METABOLISM
MD01G1103400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1103500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1103600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1103700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1103800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1104200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1104600	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1104700	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1104800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1104900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1105000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1105100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1105100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1105200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1105400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1105500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1105600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1105700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1105800	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1105900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD01G1106000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1106100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1106200	F	( F ) Nucleotide transport and metabolism	METABOLISM
MD01G1106300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1106400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1106700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1106800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1106900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1107100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1107200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1107300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1107400	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1107500	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD01G1107600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1107700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1107800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1107900	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1108000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1108100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1108200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD01G1108300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1108400	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1108500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD01G1108700	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1108800	I	( I ) Lipid transport and metabolism	METABOLISM
MD01G1108900	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1109000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1109100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1109200	E	( E ) Amino acid transport and metabolism	METABOLISM
MD01G1109300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD01G1109700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD01G1110000	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD01G1110100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD01G1110300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1110400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1110500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1110700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD01G1110800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD01G1110900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD01G1111000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
